Date,SMA50,SMA200,RSI,MACD,MACD_signal,MACD_histogram,Bollinger_hband,Bollinger_lband
2024-11-13,,,,,,,,
2024-11-14,,,,,,,,
2024-11-15,,,,,,,,
2024-11-18,,,,,,,,
2024-11-19,,,,,,,,
2024-11-20,,,,,,,,
2024-11-21,,,,,,,,
2024-11-22,,,,,,,,
2024-11-25,,,,,,,,
2024-11-26,,,,,,,,
2024-11-27,,,,,,,,
2024-11-29,,,,,,,,
2024-12-02,,,,,,,,
2024-12-03,,,59.75100975834078,,,,,
2024-12-04,,,63.07877066421889,,,,,
2024-12-05,,,68.1194167497037,,,,,
2024-12-06,,,74.51463274626327,,,,,
2024-12-09,,,74.67270496924641,,,,,
2024-12-10,,,77.61115263358224,,,,,
2024-12-11,,,82.30525586737127,,,,408.9209862226532,298.7470130449249
2024-12-12,,,77.4032091652171,,,,418.8246136571572,297.62938719733495
